Node,U_down,U_up
0,2.72467E-34,0
2.997005939,0.000322891,0.000356181
5.994011879,0.001297149,0.001064441
8.991018295,0.002743181,0.002021722
11.98802376,0.00479402,0.003309488
14.98503017,0.007115353,0.004719533
17.98203659,0.010030543,0.006442341
20.97904205,0.013129986,0.008223172
23.97604752,0.016792448,0.010284641
26.97305298,0.020619035,0.012380025
29.97006035,0.024956213,0.014712069
32.96706772,0.029448997,0.017061127
35.96407318,0.034396559,0.019601295
38.96107864,0.039489329,0.022140453
41.95808411,0.044983901,0.024827
44.95508957,0.050609428,0.027492166
47.95209503,0.056587275,0.030263128
50.94910049,0.062678583,0.03299037
53.94610596,0.069075488,0.035783481
56.94311523,0.075566001,0.038509116
59.9401207,0.082317397,0.041261904
62.93712616,0.08914078,0.043922395
65.93413544,0.096181914,0.046572268
68.93113708,0.103272028,0.049104184
71.92814636,0.110537991,0.051588457
74.92514801,0.117828779,0.053928442
77.92215729,0.125254586,0.0561844
80.91915894,0.132680088,0.058269128
83.91616821,0.140200704,0.060234014
86.91316986,0.14769499,0.062000196
89.91017914,0.155245319,0.063611224
92.90718842,0.162742525,0.064995624
95.90419006,0.170257419,0.066189989
98.90119934,0.177691698,0.067129381
101.898201,0.185105994,0.067844264
104.8952103,0.192411557,0.068275467
107.8922119,0.199660033,0.068448044
110.8892212,0.20677112,0.068307906
113.8862305,0.213788539,0.067875341
116.8832321,0.220639423,0.067100748
119.8802414,0.227360487,0.066000216
122.877243,0.233885482,0.064528137
125.8742523,0.240244895,0.062696852
128.8712616,0.246378332,0.060464293
131.8682709,0.252310753,0.057839539
134.8652649,0.257986933,0.054783706
137.8622742,0.263427049,0.051302981
140.8592834,0.268580407,0.047361337
143.8562927,0.273462832,0.042962618
146.8532867,0.278027654,0.038073614
149.850296,0.282287031,0.032696549
152.8473053,0.286197811,0.026802015
155.8443146,0.289768696,0.020394629
158.8413239,0.292959809,0.013462683
161.8383179,0.295776814,0.006115928
164.8353271,0.298182666,0.003113201
167.8323364,0.300180405,0.011254008
170.8293457,0.301735431,0.020496363
173.8263397,0.302848458,0.030409841
176.823349,0.303487092,0.04098415
179.8203583,0.303650022,0.052217357
182.8173676,0.303306699,0.064130262
185.8143768,0.302454025,0.076729432
188.8113708,0.301063269,0.090036996
191.8083801,0.299129575,0.104061671
194.8053894,0.296625763,0.11882513
197.8023987,0.293545604,0.134337112
200.799408,0.289863229,0.150618628
203.796402,0.285571158,0.167680264
206.7934113,0.280644745,0.185542449
209.7904205,0.275075257,0.20421657
212.7874298,0.26883924,0.22372219
215.7844238,0.261926919,0.244071364
218.7814331,0.254315794,0.265283257
221.7784424,0.245995134,0.287370443
224.7754517,0.236943394,0.310351431
227.7724609,0.22714895,0.334239453
230.769455,0.21659115,0.359052181
