Node,U2,Normal Stress,Von-Mises Stress
0,-1.20108E-34,-18630734,18183118
0.001000404,-7.44175E-08,-17076482,16909822
0.001999855,-1.06954E-07,-15055044,15044445
0.003000259,-1.47517E-07,-14309771,14262078
0.00399971,-1.76074E-07,-13884408,13878972
0.005000114,-2.10888E-07,-13640323,13625462
0.005999565,-2.40206E-07,-13482200,13480447
0.006999969,-2.74878E-07,-13377385,13371628
0.008000374,-3.06954E-07,-13302489,13302154
0.008999825,-3.43764E-07,-13246600,13244138
0.010000229,-3.79592E-07,-13201773,13201988
0.01099968,-4.19767E-07,-13163628,13162564
0.012000084,-4.59936E-07,-13129056,13129470
0.012999535,-5.04166E-07,-13096140,13095725
0.013999939,-5.49034E-07,-13063588,13064056
0.015000343,-5.97785E-07,-13030554,13030458
0.015999794,-6.47521E-07,-12996537,12996996
0.017000198,-7.01013E-07,-12961174,12961234
0.017999649,-7.55791E-07,-12924313,12924737
0.019000053,-8.14182E-07,-12885830,12885963
0.020000458,-8.74133E-07,-12845748,12846128
0.020999908,-9.3746E-07,-12804080,12804245
0.022000313,-1.00256E-06,-12760903,12761241
0.022999763,-1.07093E-06,-12716280,12716456
0.024000168,-1.1412E-06,-12670320,12670620
0.024999619,-1.21463E-06,-12623110,12623286
0.026000023,-1.29004E-06,-12574752,12575019
0.027000427,-1.36861E-06,-12525347,12525518
0.027999878,-1.44908E-06,-12475014,12475253
0.029000282,-1.53269E-06,-12423828,12423991
0.029999733,-1.61825E-06,-12371881,12372096
0.031000137,-1.70689E-06,-12319250,12319405
0.031999588,-1.79751E-06,-12266014,12266210
0.032999992,-1.89114E-06,-12212228,12212376
0.034000397,-1.98686E-06,-12157970,12158150
0.034999847,-2.08535E-06,-12103308,12103449
0.036000252,-2.18605E-06,-12048282,12048450
0.036999702,-2.28945E-06,-11992936,11993073
0.038000107,-2.39508E-06,-11937316,11937474
0.038999557,-2.50335E-06,-11881454,11881587
0.039999962,-2.61386E-06,-11825374,11825526
0.041000366,-2.72706E-06,-11769116,11769246
0.041999817,-2.84229E-06,-11712720,11712866
0.043000221,-2.96027E-06,-11656194,11656322
0.043999672,-3.08029E-06,-11599558,11599701
0.045000076,-3.20301E-06,-11542830,11542956
0.045999527,-3.32776E-06,-11486025,11486164
0.046999931,-3.45518E-06,-11429142,11429267
0.048000336,-3.58474E-06,-11372204,11372342
0.048999786,-3.71667E-06,-11315238,11315363
0.050000191,-3.85087E-06,-11258236,11258372
0.050999641,-3.9874E-06,-11201206,11201332
0.052000046,-4.1262E-06,-11144140,11144276
0.05300045,-4.26741E-06,-11087058,11087184
0.053999901,-4.41062E-06,-11029976,11030112
0.055000305,-4.55634E-06,-10972886,10973013
0.055999756,-4.70404E-06,-10915790,10915926
0.05700016,-4.85423E-06,-10858693,10858821
0.057999611,-5.00637E-06,-10801594,10801730
0.059000015,-5.16097E-06,-10744483,10744612
0.06000042,-5.31767E-06,-10687375,10687512
0.06099987,-5.47649E-06,-10630285,10630416
0.062000275,-5.63754E-06,-10573200,10573337
0.062999725,-5.80067E-06,-10516121,10516252
0.06400013,-5.96603E-06,-10459049,10459187
0.06499958,-6.13344E-06,-10401984,10402118
0.065999985,-6.30306E-06,-10344914,10345052
0.067000389,-6.47486E-06,-10287852,10287986
0.06799984,-6.64853E-06,-10230812,10230951
0.069000244,-6.82451E-06,-10173780,10173916
0.069999695,-7.00235E-06,-10116757,10116898
0.071000099,-7.18247E-06,-10059744,10059881
0.07199955,-7.36442E-06,-10002739,10002881
0.072999954,-7.54863E-06,-9945730,9945869
0.074000359,-7.73483E-06,-9888730,9888873
0.074999809,-7.92291E-06,-9831753,9831893
0.076000214,-8.11313E-06,-9774786,9774929
0.076999664,-8.3052E-06,-9717828,9717969
0.078000069,-8.49941E-06,-9660864,9661010
0.079000473,-8.69562E-06,-9603911,9604054
0.079999924,-8.89357E-06,-9546980,9547127
0.081000328,-9.09369E-06,-9490059,9490204
0.081999779,-9.29552E-06,-9433147,9433295
0.083000183,-9.49949E-06,-9376244,9376391
0.083999634,-9.70516E-06,-9319351,9319500
0.085000038,-9.91295E-06,-9262453,9262601
0.086000443,-1.01226E-05,-9205564,9205714
0.086999893,-1.0334E-05,-9148698,9148847
0.088000298,-1.05474E-05,-9091840,9091992
0.088999748,-1.07624E-05,-9034992,9035144
0.090000153,-1.09795E-05,-8978154,8978307
0.090999603,-1.11983E-05,-8921324,8921477
0.092000008,-1.1419E-05,-8864490,8864644
0.093000412,-1.16416E-05,-8807664,8807820
0.093999863,-1.18658E-05,-8750862,8751019
0.095000267,-1.20919E-05,-8694068,8694225
0.095999718,-1.23197E-05,-8637284,8637442
0.097000122,-1.25493E-05,-8580508,8580667
0.097999573,-1.27806E-05,-8523742,8523902
0.098999977,-1.30138E-05,-8466972,8467132
0.100000381,-1.32487E-05,-8410210,8410371
0.100999832,-1.34851E-05,-8353470,8353632
0.102000237,-1.37234E-05,-8296740,8296904
0.102999687,-1.39632E-05,-8240019,8240183
0.104000092,-1.42049E-05,-8183307,8183472
0.104999542,-1.44481E-05,-8126603.5,8126769.5
0.105999947,-1.46931E-05,-8069896,8070063.5
0.107000351,-1.49398E-05,-8013197,8013365
0.107999802,-1.51878E-05,-7956521,7956690.5
0.109000206,-1.54378E-05,-7899853.5,7900024
