Node,U2,Normal Stress,Von-Mises Stress
0,-1.66E-33,-144240944,139701552
0.001998901,-1.02841E-06,-135094752,133262144
0.004001617,-1.41666E-06,-124421920,124351088
0.006000519,-1.98241E-06,-122296680,121973888
0.00799942,-2.42595E-06,-121732232,121747888
0.009998322,-3.03693E-06,-121916472,121853600
0.012001038,-3.63492E-06,-122281896,122308032
0.013999939,-4.38763E-06,-122695256,122684656
0.01599884,-5.17199E-06,-123062656,123084576
0.018001556,-6.10326E-06,-123365960,123366944
0.020000458,-7.08943E-06,-123594352,123610184
0.021999359,-8.21093E-06,-123753856,123756352
0.02399826,-9.40445E-06,-123851680,123862704
0.026000977,-1.07274E-05,-123897392,123899216
0.027999878,-1.21304E-05,-123900144,123907648
0.029998779,-1.3653E-05,-123867968,123868688
0.032001495,-1.52685E-05,-123808456,123813520
0.034000397,-1.69949E-05,-123727280,123727280
0.035999298,-1.88162E-05,-123629848,123633344
0.037998199,-2.07466E-05,-123519600,123519152
0.040000916,-2.27797E-05,-123400112,123402512
0.041999817,-2.49146E-05,-123273520,123272912
0.043998718,-2.71509E-05,-123142032,123143752
0.046001434,-2.94945E-05,-123006632,123006024
0.048000336,-3.1937E-05,-122868880,122870112
0.049999237,-3.44803E-05,-122729216,122728656
0.051998138,-3.71279E-05,-122588384,122589280
0.054000854,-3.98805E-05,-122446512,122446080
0.055999756,-4.27327E-05,-122304304,122304976
0.057998657,-4.56835E-05,-122161648,122161320
0.060001373,-4.87453E-05,-122018832,122019328
0.062000275,-5.18994E-05,-121875888,121875664
0.063999176,-5.51587E-05,-121732992,121733360
0.066001892,-5.85221E-05,-121589952,121589816
0.068000793,-6.1984E-05,-121447072,121447360
0.069999695,-6.55435E-05,-121304240,121304184
0.071998596,-6.92074E-05,-121161440,121161664
0.074001312,-7.2976E-05,-121018576,121018576
0.076000214,-7.68417E-05,-120875888,120876048
0.077999115,-8.08047E-05,-120733184,120733232
0.080001831,-8.48791E-05,-120590512,120590648
0.082000732,-8.90434E-05,-120447920,120448000
0.083999634,-9.33107E-05,-120305472,120305576
0.085998535,-9.76754E-05,-120162960,120163056
0.088001251,-0.000102152,-120020448,120020544
0.090000153,-0.000106717,-119878032,119878144
0.091999054,-0.000111384,-119735664,119735744
0.09400177,-0.000116157,-119593256,119593376
0.096000671,-0.000121024,-119450976,119451040
0.097999573,-0.000125988,-119308768,119308904
0.099998474,-0.000131053,-119166552,119166616
0.10200119,-0.000136225,-119024288,119024416
0.104000092,-0.000141488,-118882152,118882208
0.105998993,-0.000146849,-118740032,118740160
0.108001709,-0.000152321,-118597888,118597952
0.11000061,-0.000157879,-118455840,118455968
0.111999512,-0.000163538,-118313904,118313968
0.113998413,-0.000169294,-118171920,118172048
0.116001129,-0.00017516,-118029920,118029984
0.118000031,-0.000181113,-117888016,117888144
0.119998932,-0.000187164,-117746144,117746216
0.122001648,-0.000193325,-117604240,117604368
0.124000549,-0.000199573,-117462448,117462520
0.125999451,-0.000205918,-117320752,117320872
0.127998352,-0.000212361,-117179016,117179088
0.130001068,-0.000218914,-117037256,117037376
0.131999969,-0.000225552,-116895608,116895688
0.133998871,-0.000232287,-116753984,116754104
0.136001587,-0.000239132,-116612336,116612416
0.138000488,-0.000246062,-116470784,116470896
0.13999939,-0.000253089,-116329336,116329424
0.141998291,-0.000260212,-116187856,116187968
0.144001007,-0.000267446,-116046336,116046432
0.145999908,-0.000274763,-115904936,115905048
0.14799881,-0.000282176,-115763560,115763648
0.150001526,-0.0002897,-115622160,115622264
0.152000427,-0.000297307,-115480856,115480944
0.153999329,-0.000305009,-115339656,115339760
0.15599823,-0.000312807,-115198416,115198512
0.158000946,-0.000320717,-115057152,115057264
0.159999847,-0.000328707,-114916000,114916088
0.161998749,-0.000336793,-114774864,114774968
0.164001465,-0.00034499,-114633704,114633792
0.166000366,-0.000353267,-114492648,114492752
0.167999268,-0.000361639,-114351696,114351792
0.169998169,-0.000370107,-114210704,114210816
0.172000885,-0.000378686,-114069688,114069784
0.173999786,-0.000387343,-113928776,113928880
0.175998688,-0.000396096,-113787896,113787992
0.178001404,-0.00040496,-113646992,113647088
0.180000305,-0.000413902,-113506176,113506272
0.181999207,-0.000422938,-113365472,113365568
0.183998108,-0.000432069,-113224736,113224832
0.186000824,-0.000441312,-113083968,113084064
0.187999725,-0.000450631,-112943296,112943400
0.189998627,-0.000460045,-112802664,112802768
0.192001343,-0.00046957,-112662000,112662096
0.194000244,-0.000479171,-112521440,112521536
0.195999146,-0.000488866,-112380912,112381008
0.198001862,-0.000498674,-112240352,112240448
0.200000763,-0.000508556,-112099896,112099992
0.201999664,-0.000518531,-111959544,111959648
0.203998566,-0.0005286,-111819152,111819256
0.206001282,-0.000538781,-111678736,111678840
0.208000183,-0.000549035,-111538432,111538528
0.209999084,-0.000559383,-111398144,111398240
0.212001801,-0.000569843,-111257840,111257936
0.214000702,-0.000580376,-111117632,111117728
0.215999603,-0.000591002,-110977520,110977624
0.217998505,-0.00060172,-110837384,110837488
0.220001221,-0.000612551,-110697216,110697312
0.222000122,-0.000623453,-110557152,110557248
0.223999023,-0.000634448,-110417120,110417216
0.22600174,-0.000645556,-110277056,110277152
0.228000641,-0.000656734,-110137096,110137200
0.229999542,-0.000668004,-109997240,109997344
0.231998444,-0.000679366,-109857344,109857448
0.23400116,-0.000690842,-109717416,109717520
0.236000061,-0.000702386,-109577600,109577696
0.237998962,-0.000714022,-109437808,109437904
0.240001678,-0.000725771,-109297992,109298096
0.24200058,-0.000737589,-109158288,109158384
0.243999481,-0.000749498,-109018672,109018768
0.245998383,-0.000761498,-108879024,108879120
0.248001099,-0.000773611,-108739352,108739456
0.25,-0.000785792,-108599784,108599888
0.251998901,-0.000798064,-108460240,108460352
0.254001617,-0.000810449,-108320672,108320784
0.256000519,-0.000822901,-108181216,108181312
0.25799942,-0.000835443,-108041840,108041952
0.259998322,-0.000848075,-107902448,107902544
0.262001038,-0.000860821,-107763024,107763120
0.263999939,-0.000873633,-107623696,107623808
0.26599884,-0.000886534,-107484400,107484512
