Node,U1
0,-0.000477968
0.001999855,-0.000439722
0.004000187,-0.00040147
0.006000042,-0.00036323
0.007999897,-0.000324992
0.010000229,-0.000286747
0.012000084,-0.000248513
0.013999939,-0.00021028
0.015999794,-0.000172049
0.018000126,-0.000133809
0.019999981,-9.55802E-05
0.021999836,-5.73515E-05
0.024000168,-1.91141E-05
0.026000023,1.91141E-05
0.027999878,5.73425E-05
0.03000021,9.55802E-05
0.032000065,0.000133809
0.03399992,0.00017204
0.035999775,0.000210271
0.038000107,0.000248513
0.039999962,0.000286747
0.041999817,0.000324983
0.044000149,0.00036323
0.046000004,0.00040147
0.047999859,0.000439713
0.050000191,0.000477968
