%x	s_11
0	26080610
0.001136176	51394272
0.002271788	101033320
0.003407051	148656384
0.004541811	194264256
0.005676246	237948928
0.00681022	279799296
0.007943931	319889984
0.009077214	358283328
0.010210257	395034688
0.011342905	430194048
0.012475378	463808704
0.013607462	495922624
0.014739397	526578688
0.015870979	555817152
0.017002458	583677376
0.018133588	610195968
0.01926465	635409408
0.020395387	659351360
0.021526087	682055168
0.02265645	703551808
0.023786822	723872256
0.024916878	743044992
0.026046969	761098432
0.027176728	778058816
0.028306572	793952768
0.029436082	808804224
0.030565696	822637952
0.031694986	835475968
0.032824382	847341184
0.033953466	858254208
0.035082705	868236416
0.036211599	877306560
0.037340689	885484736
0.0384694	892788096
0.039598364	899235584
0.040726919	904842880
0.041855741	909628032
0.042984132	913605376
0.044112857	916791872
0.045241088	919200512
0.04636972	920847616
0.047497809	921744896
0.048626337	921907968
0.049754273	921347392
0.050882705	920078080
0.052010503	918109568
0.053138852	915456192
0.054266479	912126592
0.055394743	908134528
0.056522202	903487552
0.05765035	898199168
0.05877763	892275968
0.059905704	885731008
0.061032791	878569984
0.062160756	870805888
0.063287631	862443264
0.0644155	853494976
0.065542132	843964800
0.066669866	833865536
0.067796253	823199744
0.068923876	811980416
0.070049979	800209088
0.071177453	787898880
0.072303243	775050496
0.073430583	761677184
0.074556015	747778496
0.075683191	733368064
0.076808266	718444160
0.077935271	703021056
0.079059929	687095808
0.080186747	670683520
0.081310958	653779520
0.082437567	636400000
0.083561264	618538496
0.084687695	600212480
0.085810833	581413376
0.086937048	562160896
0.088059589	542443264
0.089185573	522283200
0.090307452	501665152
0.09143319	480615680
0.092554353	459114816
0.093679868	437191840
0.094800234	414827136
0.09592551	392044096
0.097044997	368840256
0.098170057	345204800
0.09928856	321198336
0.100413427	296699712
0.10153085	271915456
0.102655575	246428064
0.103771783	220629504
0.104896404	193376096
0.106011286	164750288
0.107135706	132569560
0.108249366	93580672
0.109372899	54873716
0.110485934	20365402
0.111607417	237462.125
0.112720832	-3128190.75
