%x	s_11
0	6845326
0.001000325	13535284
0.002000717	26688620
0.00300118	39352512
0.004001725	51485648
0.00500232	63088124
0.006002999	74177328
0.007003721	84773968
0.008004522	94900024
0.009005351	104575232
0.010006259	113818504
0.011007205	122645976
0.012008223	131073040
0.013009256	139112736
0.014010371	146777984
0.015011508	154079648
0.016012706	161028832
0.01701392	167634880
0.018015211	173907728
0.019016502	179855584
0.020017864	185487456
0.021019226	190810752
0.022020668	195833808
0.023022102	200563232
0.024023594	205006816
0.025025086	209170576
0.026026646	213061808
0.027028188	216685920
0.028029816	220049792
0.029031381	223158272
0.030033063	226017968
0.031034697	228633184
0.032036416	231010208
0.033038087	233152832
0.034039848	235067104
0.035041545	236756384
0.036043346	238226464
0.037045065	239480256
0.038046896	240523408
0.039048642	241358400
0.040050514	241990720
0.041052282	242422432
0.04205418	242658944
0.043055959	242701856
0.044057857	242556576
0.045059662	242224224
0.046061605	241710256
0.047063392	241015296
0.048065349	240144896
0.049067143	239099200
0.050069127	237883840
0.051070888	236498496
0.05207289	234948960
0.053074662	233234368
0.054076664	231360768
0.055078428	229326736
0.056080446	227138592
0.057082191	224794272
0.058084209	222300512
0.059085902	219654592
0.060087938	216863680
0.061089624	213924256
0.06209166	210844096
0.063093312	207618880
0.064095348	204256976
0.065096959	200753248
0.066098988	197116784
0.067100547	193341440
0.068102591	189437040
0.069104113	185396576
0.070106164	181230640
0.071107611	176931264
0.072109677	172509728
0.073111035	167957200
0.074113123	163285216
0.075114414	158484320
0.076116525	153565568
0.077117711	148519104
0.078119859	143353952
0.079120934	138059696
0.080123119	132640560
0.081124045	127084632
0.082126297	121386448
0.083127066	115529240
0.084129401	109490808
0.085129991	103240872
0.086132437	96732912
0.087132797	89904416
0.088135339	82687976
0.089135475	74956128
0.09013813	66672232
0.09113805	57615664
0.092140727	47961536
0.093140498	37487448
0.09414304	26896124
0.095142826	16385910
0.096145011	7204698.5
0.097145103	539158
0.098146722	-3022597.5
0.099147372	-2296369
0.100148395	-1090554.625
