%x	s_von_misses
0	1360337280
0.001000325	1350340608
0.002000717	1330682368
0.00300118	1311714816
0.004001725	1293402624
0.00500232	1275737472
0.006002999	1258671872
0.007003721	1242196096
0.008004522	1226262400
0.009005351	1210866304
0.010006259	1195960320
0.011007205	1181545216
0.012008223	1167573760
0.013009256	1154051968
0.014010371	1140931840
0.015011508	1128224256
0.016012706	1115880064
0.01701392	1103915264
0.018015211	1092278784
0.019016502	1080991744
0.020017864	1070000640
0.021019226	1059332096
0.022020668	1048929408
0.023022102	1038825344
0.024023594	1028959232
0.025025086	1019370240
0.026026646	1009993216
0.027028188	1000874304
0.028029816	991943040
0.029031381	983253376
0.030033063	974728576
0.031034697	966430592
0.032036416	958276032
0.033038087	950336000
0.034039848	942519104
0.035041545	934906112
0.036043346	927397120
0.037045065	920083584
0.038046896	912855296
0.039048642	905815808
0.040050514	898843904
0.041052282	892055936
0.04205418	885318272
0.043055959	878761472
0.044057857	872238080
0.045059662	865894272
0.046061605	859567168
0.047063392	853420288
0.048065349	847273472
0.049067143	841309056
0.050069127	835328192
0.051070888	829533952
0.05207289	823706496
0.053074662	818071424
0.054076664	812385984
0.055078428	806900864
0.056080446	801347840
0.057082191	796004928
0.058084209	790575872
0.059085902	785368704
0.060087938	780056512
0.061089624	774980096
0.06209166	769778688
0.063093312	764829184
0.064095348	759733888
0.065096959	754908544
0.066098988	749916032
0.067100547	745212992
0.068102591	740321024
0.069104113	735738880
0.070106164	730947456
0.071107611	726484800
0.072109677	721796352
0.073111035	717450752
0.074113123	712870912
0.075114414	708637952
0.076116525	704176896
0.077117711	700048256
0.078119859	695723008
0.079120934	691684480
0.080123119	687521216
0.081124045	683550848
0.082126297	679588096
0.083127066	675655936
0.084129401	671948288
0.085129991	668020736
0.086132437	664642240
0.087132797	660700864
0.088135339	657740224
0.089135475	653825408
0.09013813	651354880
0.09113805	647639936
0.092140727	645613632
0.093140498	642417792
0.09414304	640491904
0.095142826	637940992
0.096145011	635386752
0.097145103	632739840
0.098146722	628794880
0.099147372	625003328
0.100148395	622402432
